title,link,text,newspaper
T:0:轉載造謠貼文被陳菊提告 韓粉張琍敏稱「言論自由」被噓爆,//news.ltn.com.tw/news/politics/breakingnews/2938454,藝人張琍敏（紅衣）7日將到台北地院開庭，法院要審理她對陳菊的妨害名譽案件。（資料照）2019-10-062339〔即時新聞／綜合報導〕高雄市長韓國瑜屢次怪罪前朝，多名韓粉也紛紛在臉書社團內轉貼、敘述不實內容，涉嫌對總統府秘書長陳菊誹謗被告上法院，資深藝人、韓粉張琍敏近期收到法院傳票卻以「言論自由」當理由，事件曝光被網友噓爆。68歲的藝人張琍敏先前於臉書指「高雄有3000億的重大弊案，陳菊蛇鼠一窩」等語，陳菊辦公室在4月正式委任律師提告，台北地院5月6日下午開庭，張琍敏委由律師向法官表達目前身在美國，預計10月才會返國，向法官請假；法官當庭直言，人在外國並非正當的不到庭理由，請律師轉達，在她回國之前仍可書狀表達意見。藝人張琍敏在臉書貼出照片，當中能見台北地方法院將開庭傳票寄給她的辯護律師，時間訂在本月7日審理案情，韓粉辯稱，「我長這麼大，明天第一次要出庭！為一篇轉載的貼文而被陳菊告毀謗！民進黨在執政前所強調的言論自由而如今確是如此！大家祝我好運吧！」事件被轉貼到臉書社團「打馬悍將粉絲團」，不少網友留言指出，「言論自由不是給你這樣用的」、「就是為了要避免言論自由被濫用，才需要有妨害名譽這條法啊」、「就是過太爽，才拿著自由當令箭」、「她，語文能力有待加強」、「歌可以隨意唱，謠言不可隨便傳」。張琍敏於台北市出生，籍貫中國湖北省漢口市，在台灣擔任過節目主持人、女歌手、女演員，有「小迷糊」、「嬌嬌」等外號，曾演出《家有嬌妻》等電視劇，其父為國民黨抗日戰爭時期的陸軍將領張振國，張父在1949年帶著全家隨國民政府遷徙台灣。觀看原文請點擊下面「打馬悍將粉絲團」傳送門總統府秘書長先前遭藍營名嘴、韓粉抹黑，分別對多人提告以正視聽。（資料照）$(',Liberty Times
T:1:氣炸！韓國瑜遇陳情 竟答「你自己去想一想」,//news.ltn.com.tw/news/politics/breakingnews/2938503,韓國瑜（見圖）近日遇到民眾陳情，竟回答「你自己去想一想」，讓網友相當不滿。（資料照）2019-10-062337〔即時新聞／綜合報導〕高雄市長韓國瑜近期爭議不斷、民調落後，韓國瑜近日視察高雄農業用地時遇到民眾陳情，不料他竟開口要市民「自己去想一想」解決方法，消息曝光讓網友怒轟：「當什麼市長啊！」高雄市長韓國瑜昨（6）日前往大樹、美濃和內門區視察，根據《民視新聞網》報導，有農民當場陳情，向韓國瑜表達：「野蓮假如沒有賣到外國去的話，會面臨像香蕉滯銷的問題。」一旁的高雄市議員朱信強說：「（韓國瑜）選上總統就幫你做外銷好不好？」農民聽了忍不住乾笑。韓國瑜還遇到1位女市民陳情，她說：「我們希望有外國客來參觀我們美濃的文物館，它（知名度）要怎麼銷到外面去，不能說像這樣關蚊子一樣啊。」未料，韓國瑜回答：「你去思考一下，你們內部要如何增加內容，你自己去想一想，那觀光局這邊我們再來配合。」，韓國瑜認為，「我人在高雄市，一定會全力衝市政，這是我肩膀上的責任」。事件被轉貼到臉書社團「打馬悍將粉絲團」後，引發不少網友憤怒，眾人相繼留言指出「高雄人，台灣人會永遠記住你們的犧牲與奉獻」、「可憐的高雄人」、「含總機：你問的太偏差！謝謝下一位」、「傑出的89萬」、「我們請客家文物館館長回答謝謝」、「當初高雄人選出這麼一個市長，認命吧！」$(',Liberty Times
T:2:發大財？王定宇：「虛化主權」拚命賺錢是登記別人名下,//news.ltn.com.tw/news/politics/breakingnews/2938510,前總統馬英九昨（5日）批評總統蔡英文堅守國家主權的言論，是在操弄「芒果乾」（亡國感）。對此，民進黨立委王定宇今（6日）在臉書上發文指出，堅守國家主權難道不正是總統的基本責任嗎？難道要支持一個形同自己辛苦努力賺錢，卻把財產登記在他人名下的「虛化主權」、「讓渡主權」嗎？（資料照）2019-10-062331〔即時新聞／綜合報導〕前總統馬英九昨（5）日批評總統蔡英文堅守國家主權的立場是在操弄「芒果乾」（亡國感）。對此，民進黨立委王定宇今（6日）在臉書上發文指出，堅守國家主權難道不正是總統的基本責任嗎？難道要支持一個形同「自己辛苦努力賺錢，卻把財產登記在他人名下」的「虛化主權」、「讓渡主權」嗎？根據該則貼文，王定宇點出，身為總統的基本責任不就是堅守「國家主權」嗎？並指出，支持「讓渡主權」或「虛化主權」來換取「賺錢機會」的總統，就像是贊成「拚命賺錢，但是把財產都登記在別人名下一樣」。王定宇指出，經中國承諾「一國兩制」的香港在無主權保護之下的現況，就是台灣最好的借鑑。「民主、自由、主權」的概念並不是飄渺、虛幻的辭藻，而是讓台灣人民掌握自己命運的實質力量、掌握選擇的實質權利！對於馬英九的指控，蔡英文回應，蔡政府在兩岸政策上，採取不挑釁的態度，堅守維護主權的立場；在外交上，則爭取到國際上愈來愈多民主國家對台灣的支持。蔡英文指出，若領導人採取馬英九做法，在受到來自中國的龐大壓力時，就一味退讓，只會讓人民備感不安，因此自己一定會堅守台灣人的尊嚴、堅定捍衛台灣的主權。前總統馬英九「哪來的芒果乾？國安問題」研討會中批評總統蔡英文的兩岸和外交政策。（資料照）$(',Liberty Times
T:3:韓國瑜神隱一天 深夜與紐約僑胞視訊連線,//news.ltn.com.tw/news/politics/breakingnews/2938557,2019-10-062319〔記者葛祐豪／高雄報導〕「一枝穿雲箭，千里穿洋紐約見！」國民黨總統參選人韓國瑜今天神隱一天，深夜11點卻透過視訊連線，向紐約僑胞帶來驚喜問候，並要僑胞明年1月11日，「用手中神聖一票，保護中華民國」。韓國瑜夫人李佳芬今天代夫出征，遠赴新北主打柔性攻勢，韓國瑜本人則神隱，沒安排任何公開行程，但晚間11點卻和人在紐約的國民黨立委江啟臣視訊連線，對僑胞精神喊話。赴美訪問的江啟臣，目前人在紐約法拉盛，與美東地區僑學界的韓國瑜後援總會進行座談，現場湧入500人，韓國瑜於台北時間今晚11點，也透過江啟臣的臉書直播，與僑胞驚喜連線，現場不斷高喊「韓國瑜凍蒜」、「民進黨下台」。韓國瑜告訴僑胞，大家手搖國旗，他非常感動，祝福大家闔家平安幸福。他也呼籲僑胞於明年1月11日踴躍回台灣，用手中神聖一票，保護中華民國，「我們台灣見」！江啟臣臉書直播影片：江啟臣目前人在紐約，與美東地區僑學界的韓國瑜後援總會進行座談。（擷取自江啟臣臉書）$(',Liberty Times
T:4:陳柏惟開政見 當選爭取立法院遷台中,//news.ltn.com.tw/news/politics/breakingnews/2938426,參選台中市第2選區立委的台灣基進陳柏惟（前排右3）今天在烏日舉辦座談會，開出當選後爭取立法院遷至台中的政見。（記者陳建志攝）2019-10-062313〔記者陳建志／台中報導〕立委選戰倒數破百日，參選台中市第2選區的台灣基進陳柏惟，今天下午在烏日區南興宮舉辦「賺錢有數、台灣愛顧」座談會，吸引上百位民眾到場，陳柏惟提出將立法院遷至台中，讓台中成為台灣的政治中心，並將成功嶺發展成國會山莊的政見，誓言當選後要讓台中有更好的發展。陳柏惟今天下午在烏日溪南的南興宮舉辦「賺錢有數、台灣愛顧」座談會，在沒有動員，僅靠志工、臉書宣傳下，仍吸引近百位民眾到場參加，陳柏惟在會中談到爭取立法院遷至台中的議題，強調因政治資源長期集中在台北，造成高雄、屏東等南部立委，每天光是花在通勤的時間就要5、6個小時，離島和東部的立委要花更多時間。陳柏惟說，台中位處台灣地理位置中間，又有高鐵台中站，南來北往都很方便，若台中機場計畫能繼續推動，國際外賓到台中也沒問題，若將立法院遷到台中，可讓台中變成台灣的政治中心，他希望能在成功嶺規劃國會山莊、民主大學，甚至連行政院也遷至台中，讓中部重新獲得發展。陳柏惟說，立法院遷至台中的議題，他的對手顏寬恒也說過，不過當選後就無聲無息，實在很可惜，強調如果當選後，一定推動讓台中發展的政見。陳柏惟說，到台中後發現，雖然同樣都是台中市，但舊縣區相對原市區有很多不方便，希望透過這次選舉讓大家知道，一切都是可以改變的。若他能當選，就證明這是個有公平正義的社會，年輕人是有機會的，希望大家一起打拚，2020投台灣一票，為下一代打造繼續維持民主自由的生活方式與未來。$(',Liberty Times
T:5:美台國防工業會議  這些議題料成討論重點...,//news.ltn.com.tw/news/politics/breakingnews/2938461,今年度「美台國防工業會議」登場，將延續討論我國「整體防衛構想」，甚至爆發戰事時，可能遭遇的攻擊手段與因應方式。圖為9月25日金防部反登陸操演，模擬敵船團企圖登島，齊射火砲阻擾。（資料照，記者吳正庭攝）2019-10-062313〔記者涂鉅旻／台北報導〕今年度「美台國防工業會議」在美東時間6日登場，我國代表團已抵達美國，並在美東時間7日起，參加連續2天的議程。此次將分成5個子會議，除將探討各種強度的我國威脅，甚至爆發戰爭時可能遭遇的攻擊手段等，包括假訊息等承平時期威脅，預料也將納入討論之中。根據「美台商會」公布訊息，今年將延續去年會議，討論我國「整體防衛構想」（ODC），並進一部探討未來我國政治情勢，以及科技、軍備、經費與部隊結構變化，會如何影響整體防衛構想，甚至產生變化。另也將討論我國各種層次威脅、封鎖，甚至爆發戰事時，可能遭遇的攻擊手段與因應方式，並探討美國與其他我國友邦的潛在扮演角色。值得注意的是，我國受假訊息危害甚深，今年的「美台國防工業會議」除探討中高等級的威脅，另也延續往年探討網路安全議題，著墨於低等級的平時威脅，包括各種政戰作為、假訊息等都納入議題之中，同時就我國整體防衛構想或其他作法，能否因應低強度威脅進行討論。$(',Liberty Times
T:6:美台國防工業會議登場 美國防部副助理部長、AIT主席出席,//news.ltn.com.tw/news/politics/breakingnews/2938460,今年度「美台國防工業會議」在美東時間6日登場，美方表定出席層級和往年相當，由美國國防部副助理部長海大衛、AIT主席莫健與會。圖為蔡英文總統（前排左二）8月15日參觀「台北國際航太暨國防工業展」，參觀美國將出售的F-16VBLOCK70。（資料照，記者方賓照攝）2019-10-062303〔記者涂鉅旻／台北報導〕今年度「美台國防工業會議」在美東時間6日登場，我國國安會副秘書長陳文政、國防部副部長張冠群所率代表團已赴美。根據會議議程所揭，美方表定出席層級和往年相當，由美國國防部副助理部長海大衛（DavidHelvey）、美國在台協會（AIT）主席莫健（JamesMoriary）與會。今年「美台國防工業會議」在美國馬里蘭州登場，根據議程，我國代表團在美東時間六日晚間抵達，隔日上午則由張冠群、莫健等人發表演說，晚餐時間則由海大衛發表主題演講。由於海大衛在去年會議中，表達對美台軍演等具體合作有「各種可能性」的態度，縱使美國國防部助理部長薛瑞福（RadallShriver）在事後被問及軍演時稱「沒有計畫」，但其所代表的美方態度仍受關注。根據既定議程，今年會議將分五階段安排專題會議，包括台海安全研究中心主任梅復興、前國防部副部長陳永康、民進黨立委王定宇、國民黨立委許毓仁、國防院副執行長歐錫富、美國知名學者易思安（IaEaso）、費學禮（RikFisher）等人，將在論壇擔任主持人、講者。今年度會議將在8日中午結束。$(',Liberty Times
T:7:不讓韓國瑜專美於前 趙天麟也射3支箭,//news.ltn.com.tw/news/politics/breakingnews/2938389,趙天麟也射三支箭來建設高雄。（記者葛祐豪翻攝）2019-10-062222〔記者葛祐豪／高雄報導〕不讓韓國瑜的三支穿雲箭專美於前，競選連任的民進黨高雄市立委趙天麟，今天也希望用三隻箭與三個盾牌，來建設高雄。最近政治人物很流行射箭，高雄市長、國民黨總統參選人韓國瑜繼推出房貸最長40年的「金融三箭」後，總統大選倒數百日的記者會上，又扮成航海王「魯夫」，射出三支穿雲箭。民進黨立委趙天麟今天在問政有感的開講直播會上，也射出三支箭，他指出，第一隻箭就是招商引資，配合蔡英文總統在中美貿易戰下，所回流的資金、技術與人才，加速回來台灣，把重點擺在高雄，讓鼓山、鹽埕、苓雅、前金、新興等區，變成高雄最適合居住的地方。第二隻箭是藝文新經濟，他正在邀請日本香川縣瀨戶內藝術祭的創辦人北川富朗，要跟他請益，如何用藝術的力量，把鼓山、鹽埕、苓雅、前金、新興變成藝術的新亮點。第三隻箭就是運動新經濟，趙天麟本身是馬拉松跑者，他認為一個城市，可以因為舉辦一場馬拉松，創造高達百億的產值，所以要讓運動更平民化，把公園變成運動公園，變成特色公園。趙天麟說，三個盾牌則包括長照、照顧年輕家庭、照顧弱勢。$(',Liberty Times
T:8:PO文稱主管兒刷掉「批韓台大生」 韓粉改口：只是轉發分享,//news.ltn.com.tw/news/politics/breakingnews/2938348,蔡姓韓粉遭踢爆杜撰幻想文，被起底的「主管兒子」在台中靜宜夜市的炸花枝攤也受到影響，事發至今，蔡姓韓粉受接受媒體採訪，竟改口聲稱，自己「只是看到貼文轉分享」。（圖翻攝自PTT）2019-10-062216〔即時新聞／綜合報導〕有位蔡姓韓粉先前在臉書上聲稱，自己的兒子在北部任職高階主管，面試到一位台大畢業生批評韓國瑜，最後寫上「永不錄用」刷掉新人，後來蔡姓韓粉遭踢爆杜撰幻想文，被起底的「主管兒子」原來在台中靜宜夜市經營的炸花枝攤生意也受到影響，事發至今，蔡姓韓粉接受媒體採訪時竟改口聲稱，自己「只是看到貼文轉分享」。根據《東森新聞》報導，蔡姓韓粉上月29日在臉書的「挺韓社團」發文，分享自己大兒子在北部某大公司擔任高階主管，面試問及一位台大畢業生對韓國瑜的看法，在得到嘲諷的答案後寫下評語「品格卑劣，永不錄用」。貼文一出隨即引發熱議，先是有網友指出該主管違反《就業服務法》，最高可罰150萬元，之後有網友肉搜發現，蔡姓韓粉聲稱兒子擔任「北部大公司高級主管」，實際上是在夜市賣深海花枝燒，「韓粉爸」被踢爆後才趕緊刪除貼文。根據媒體報導，蔡姓韓粉遭網友起底後，兒子的花枝燒攤位生意因而受到影響，蔡姓韓粉今受訪時聲稱，自己也是轉發分享，「原PO不記得了，我只在下面打『請借分享』，就把它PO出來了，怎麼知道PO出來會引來這麼大的麻煩！」蔡姓韓粉還為自己抱屈表示，自己只是轉貼文章，卻引發了巨大的騷動，家庭內也亂成一團，連阿姨、舅舅都打電話來罵人，自己也跟兒子大吵一架。網友肉搜發現，蔡姓韓粉聲稱兒子擔任「北部大公司高級主管」，實際上是在夜市賣深海花枝燒，「韓粉爸」被踢爆後才趕緊刪除貼文。（圖擷取自臉書社團）$(',Liberty Times
T:9:韓國瑜下週請假拚總統大選？陳致中爆：10/14或10/15起,//news.ltn.com.tw/news/politics/breakingnews/2938511,陳致中爆料指韓國瑜（見圖）將於10月14或15日起，請假拚總統大選。　（記者葛祐豪翻攝）2019-10-062152〔記者葛祐豪／高雄報導〕民進黨高雄市議員陳致中今晚爆料，根據消息，國民黨總統參選人韓國瑜將於10月14日或15日開始請假拚總統大選。對此，韓國瑜競選辦公室仍稱目前沒有相關規劃，有的話會盡快向外界報告。高雄市多位民進黨議員曾於9月中旬召開記者會，指韓國瑜將於10月11日起，連請3個月無薪假，挽救岌岌可危的選情，高市府當時回應說「目前並沒有具體的規劃，有的話一定會依照職責向議會報告。」但據了解，韓國瑜目前市政、國政兩頭燒，韓陣營確實在評估何時開始請假最合適？並傳出韓國瑜可能在結束高市府國慶相關活動後，考慮開始請假衝刺大選。陳致中今晚指出，根據消息，韓國瑜將於10月14日或15日起開始請假，確定缺席市政總質詢，他之前講的真的應驗了！陳致中批評韓國瑜棄高雄於不顧，視市民如敝屣，呼籲他「要嘛好好上班，要嘛阿沙力辭一辭市長」，難道對自己的選情沒信心嗎？不要腳踏兩條船，吃人夠夠，莫當欺騙高雄人感情的政治渣男！$(',Liberty Times
